h,k,baseline_samples,sigma_mult,first_alert_date,alert_metric,lead_days_vs_postmortem,missed,pre_onset_alarms,stable_fp_total,stable_fp_neg,stable_fp_pos
6.0,0.75,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
6.0,1.0,10,0.5,2025-08-07,json_success_rate,41,false,1,2,1,1
6.0,1.0,10,1.0,2025-08-10,json_success_rate,38,false,1,1,1,0
6.0,1.0,10,2.0,2025-08-12,json_success_rate,36,false,1,1,1,0
6.0,1.0,30,0.5,2025-08-07,json_success_rate,41,false,0,0,0,0
6.0,1.0,30,1.0,2025-08-11,json_success_rate,37,false,0,0,0,0
6.0,1.0,30,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
6.0,1.0,50,0.5,2025-08-29,json_success_rate,19,false,0,0,0,0
6.0,1.0,50,1.0,2025-08-29,json_success_rate,19,false,0,0,0,0
6.0,1.0,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.25,10,0.5,2025-08-07,json_success_rate,41,false,1,2,1,1
8.0,0.25,10,1.0,2025-08-09,json_success_rate,39,false,1,2,1,1
8.0,0.25,10,2.0,2025-08-11,json_success_rate,37,false,1,1,1,0
8.0,0.25,30,0.5,2025-08-07,json_success_rate,41,false,0,1,0,1
8.0,0.25,30,1.0,2025-08-10,json_success_rate,38,false,0,1,0,1
8.0,0.25,30,2.0,2025-08-12,json_success_rate,36,false,0,0,0,0
8.0,0.25,50,0.5,2025-08-26,json_success_rate,22,false,0,0,0,0
8.0,0.25,50,1.0,2025-08-28,json_success_rate,20,false,0,0,0,0
8.0,0.25,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.5,10,0.5,2025-08-07,json_success_rate,41,false,1,2,1,1
8.0,0.5,10,1.0,2025-08-10,json_success_rate,38,false,1,2,1,1
8.0,0.5,10,2.0,2025-08-12,json_success_rate,36,false,1,1,1,0
8.0,0.5,30,0.5,2025-08-07,json_success_rate,41,false,0,0,0,0
8.0,0.5,30,1.0,2025-08-11,json_success_rate,37,false,0,0,0,0
8.0,0.5,30,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.5,50,0.5,2025-08-28,json_success_rate,20,false,0,0,0,0
8.0,0.5,50,1.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.5,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.75,10,0.5,2025-08-06,json_success_rate,42,false,0,1,0,1
8.0,0.75,10,1.0,2025-08-09,json_success_rate,39,false,0,1,0,1
8.0,0.75,10,2.0,2025-08-11,json_success_rate,37,false,0,1,0,1
8.0,0.75,30,0.5,2025-08-07,json_success_rate,41,false,0,0,0,0
8.0,0.75,30,1.0,2025-08-11,json_success_rate,37,false,0,0,0,0
8.0,0.75,30,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.75,50,0.5,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.75,50,1.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,0.75,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,1.0,10,0.5,2025-08-06,json_success_rate,42,false,0,1,0,1
8.0,1.0,10,1.0,2025-08-09,json_success_rate,39,false,0,1,0,1
8.0,1.0,10,2.0,2025-08-11,json_success_rate,37,false,0,0,0,0
8.0,1.0,30,0.5,2025-08-08,json_success_rate,40,false,0,0,0,0
8.0,1.0,30,1.0,2025-08-12,json_success_rate,36,false,0,0,0,0
8.0,1.0,30,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,1.0,50,0.5,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,1.0,50,1.0,2025-08-29,json_success_rate,19,false,0,0,0,0
8.0,1.0,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
